,origin_school,destination_school,comparison_level,Origin_School_Name,Origin_District,Destination_School_Name,Destination_District,distance_between,commute_distance,commute_time
133,78,3774,middle,MOWAT MIDDLE SCHOOL                                                                                 ,BAY         ,ROULHAC MIDDLE SCHOOL                                                                               ,WASHINGTON  ,37.34940359,41.929506681,53.75
134,87,3773,middle,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,VERNON MIDDLE SCHOOL                                                                                ,WASHINGTON  ,15.34908309,17.5469010976,21.5
135,87,3774,middle,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,ROULHAC MIDDLE SCHOOL                                                                               ,WASHINGTON  ,26.55385675,29.3262347888,38.7
136,538,75,elementary,CARR ELEMENTARY & MIDDLE SCHOOL                                                                     ,CALHOUN     ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,16.50655676,21.0203660622,24.15
137,538,84,elementary,CARR ELEMENTARY & MIDDLE SCHOOL                                                                     ,CALHOUN     ,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,26.94917179,33.5552871232,39.0666666667
138,538,80,elementary,CARR ELEMENTARY & MIDDLE SCHOOL                                                                     ,CALHOUN     ,DEER POINT ELEMENTARY SCHOOL                                                                        ,BAY         ,27.83967471,34.8427682335,40.55
139,539,75,elementary,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,23.59122866,30.5441223256,35.7833333333
140,539,84,elementary,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,34.72424082,43.0790433866,51.3333333333
141,539,80,elementary,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,DEER POINT ELEMENTARY SCHOOL                                                                        ,BAY         ,35.30571813,44.3665244969,52.55
142,540,75,elementary,BLOUNTSTOWN ELEMENTARY SCHOOL                                                                       ,CALHOUN     ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,24.51606913,29.7406893741,33.8833333333
143,540,84,elementary,BLOUNTSTOWN ELEMENTARY SCHOOL                                                                       ,CALHOUN     ,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,34.40260902,42.2749890639,48.7333333333
144,540,80,elementary,BLOUNTSTOWN ELEMENTARY SCHOOL                                                                       ,CALHOUN     ,DEER POINT ELEMENTARY SCHOOL                                                                        ,BAY         ,35.48364702,43.5630915454,50.55
145,537,94,high,BLOUNTSTOWN HIGH SCHOOL                                                                             ,CALHOUN     ,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,36.73651124,44.4429531536,50.7333333333
146,537,87,high,BLOUNTSTOWN HIGH SCHOOL                                                                             ,CALHOUN     ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,38.69344085,44.4156128211,51.1
147,539,87,high,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,35.56657471,44.4243120178,52.25
148,538,62,middle,CARR ELEMENTARY & MIDDLE SCHOOL                                                                     ,CALHOUN     ,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,26.85149194,33.2924471089,38.5166666667
149,538,93,middle,CARR ELEMENTARY & MIDDLE SCHOOL                                                                     ,CALHOUN     ,NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL                                                       ,BAY         ,28.81451674,34.9365952835,40.5666666667
150,539,62,middle,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,34.63946735,42.8162033723,50.55
151,539,87,middle,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,35.56657471,44.4243120178,52.25
152,1486,83,elementary,APALACHICOLA BAY CHARTER SCHOOL                                                                     ,FRANKLIN    ,TYNDALL ACADEMY                                                                                     ,BAY         ,44.73713596,49.7239869164,58.85
153,1486,65,elementary,APALACHICOLA BAY CHARTER SCHOOL                                                                     ,FRANKLIN    ,CALLAWAY ELEMENTARY SCHOOL                                                                          ,BAY         ,45.72525152,55.93832021,67.5666666667
154,1486,72,elementary,APALACHICOLA BAY CHARTER SCHOOL                                                                     ,FRANKLIN    ,PARKER ELEMENTARY SCHOOL                                                                            ,BAY         ,46.38272696,53.7616569236,63.5166666667
155,1486,77,middle,APALACHICOLA BAY CHARTER SCHOOL                                                                     ,FRANKLIN    ,MARGARET K. LEWIS IN MILLVILLE                                                                      ,BAY         ,48.18560642,56.1446154458,68.5833333333
156,1486,62,middle,APALACHICOLA BAY CHARTER SCHOOL                                                                     ,FRANKLIN    ,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,49.56443778,62.6155750418,76.6166666667
157,1489,75,elementary,WEST GADSDEN MIDDLE SCHOOL                                                                          ,GADSDEN     ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,44.40857165,52.1380139983,57.8166666667
158,1492,75,elementary,GREENSBORO ELEMENTARY SCHOOL                                                                        ,GADSDEN     ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,44.33183685,51.8223574326,57.0333333333
159,1493,75,elementary,CHATTAHOOCHEE ELEMENTARY SCHOOL                                                                     ,GADSDEN     ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,42.86986158,57.1580718603,65.8833333333
160,1511,65,elementary,WEWAHITCHKA ELEMENTARY SCHOOL                                                                       ,GULF        ,CALLAWAY ELEMENTARY SCHOOL                                                                          ,BAY         ,22.75179263,24.0228316631,27.0166666667
161,1511,75,elementary,WEWAHITCHKA ELEMENTARY SCHOOL                                                                       ,GULF        ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,23.32987989,29.0143064503,36.15
162,1511,84,elementary,WEWAHITCHKA ELEMENTARY SCHOOL                                                                       ,GULF        ,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,24.09851421,30.3042730454,34.7833333333
163,1512,65,elementary,PREK ESE                                                                                            ,GULF        ,CALLAWAY ELEMENTARY SCHOOL                                                                          ,BAY         ,22.37940564,23.6779706514,25.8833333333
164,1512,75,elementary,PREK ESE                                                                                            ,GULF        ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,23.08760197,28.6694454386,35.0166666667
165,1512,84,elementary,PREK ESE                                                                                            ,GULF        ,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,23.7505795,29.9594120337,33.6833333333
166,1513,83,elementary,PORT ST. JOE ELEMENTARY SCHOOL                                                                      ,GULF        ,TYNDALL ACADEMY                                                                                     ,BAY         ,27.6277105,29.0820359103,39.15
167,1513,65,elementary,PORT ST. JOE ELEMENTARY SCHOOL                                                                      ,GULF        ,CALLAWAY ELEMENTARY SCHOOL                                                                          ,BAY         ,29.89626332,35.2957478327,48.1166666667
168,1513,72,elementary,PORT ST. JOE ELEMENTARY SCHOOL                                                                      ,GULF        ,PARKER ELEMENTARY SCHOOL                                                                            ,BAY         ,29.98177032,33.1190845462,43.45
169,1514,77,high,PORT ST. JOE HIGH SCHOOL                                                                            ,GULF        ,MARGARET K. LEWIS IN MILLVILLE                                                                      ,BAY         ,32.00974728,37.3257675177,51.4833333333
170,1514,79,high,PORT ST. JOE HIGH SCHOOL                                                                            ,GULF        ,RUTHERFORD HIGH SCHOOL                                                                              ,BAY         ,32.48490353,37.9999552613,52.9833333333
171,1515,79,high,WEWAHITCHKA HIGH SCHOOL                                                                             ,GULF        ,RUTHERFORD HIGH SCHOOL                                                                              ,BAY         ,25.7849802,27.9082657281,35.9833333333
172,1515,94,high,WEWAHITCHKA HIGH SCHOOL                                                                             ,GULF        ,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,25.895562100000003,32.7040085898,40.0833333333
173,1874,87,elementary,BETHLEHEM HIGH SCHOOL                                                                               ,HOLMES      ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,36.71935791,41.8760687585,52.7666666667
174,1874,75,elementary,BETHLEHEM HIGH SCHOOL                                                                               ,HOLMES      ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,42.36767642,59.0178358387,62.1666666667
175,1874,73,elementary,BETHLEHEM HIGH SCHOOL                                                                               ,HOLMES      ,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,44.29060427,49.5257695061,60.0666666667
176,1876,87,elementary,PONCE DE LEON ELEMENTARY SCHOOL                                                                     ,HOLMES      ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,29.05159177,41.7499304064,49.6166666667
177,1876,76,elementary,PONCE DE LEON ELEMENTARY SCHOOL                                                                     ,HOLMES      ,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,31.68655246,38.3466803865,42.9166666667
178,1876,73,elementary,PONCE DE LEON ELEMENTARY SCHOOL                                                                     ,HOLMES      ,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,36.64022963,49.3996311541,55.3666666667
179,1878,87,elementary,BONIFAY K-8 SCHOOL                                                                                  ,HOLMES      ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,26.91144024,31.5557146266,40.4833333333
180,1878,75,elementary,BONIFAY K-8 SCHOOL                                                                                  ,HOLMES      ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,32.64109976,48.6968603356,50.9666666667
181,1878,73,elementary,BONIFAY K-8 SCHOOL                                                                                  ,HOLMES      ,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,34.39750585,39.2054153742,48.0333333333
182,1877,87,high,HOLMES COUNTY HIGH SCHOOL                                                                           ,HOLMES      ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,26.99987123,32.2044261513,41.75
183,1877,94,high,HOLMES COUNTY HIGH SCHOOL                                                                           ,HOLMES      ,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,38.41932586,47.2068122167,60.3166666667
184,1879,87,high,GRADUATION ASSISTANCE PROGRAM                                                                       ,HOLMES      ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,27.57078501,31.7918356796,40.9333333333
185,1879,94,high,GRADUATION ASSISTANCE PROGRAM                                                                       ,HOLMES      ,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,38.91498981,46.794221745,59.4666666667
186,1874,87,middle,BETHLEHEM HIGH SCHOOL                                                                               ,HOLMES      ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,36.71935791,41.8760687585,52.7666666667
187,1878,87,middle,BONIFAY K-8 SCHOOL                                                                                  ,HOLMES      ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,26.91144024,31.5557146266,40.4833333333
188,1914,75,elementary,HOPE SCHOOL                                                                                         ,JACKSON     ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,28.1540358,34.4127793685,38.9666666667
189,1914,87,elementary,HOPE SCHOOL                                                                                         ,JACKSON     ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,36.78618671,48.2929690607,54.4666666667
190,1914,84,elementary,HOPE SCHOOL                                                                                         ,JACKSON     ,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,39.372660700000004,46.9477004295,52.5166666667
191,1915,75,elementary,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,29.23405978,31.9359937962,35.5666666667
192,1915,87,elementary,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,35.80003872,45.8161834884,52.1166666667
193,1915,73,elementary,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,39.72410078,49.1138004056,56.4333333333
194,1917,75,elementary,COTTONDALE ELEMENTARY SCHOOL                                                                        ,JACKSON     ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,29.81274628,31.4966843633,34.6333333333
195,1917,87,elementary,COTTONDALE ELEMENTARY SCHOOL                                                                        ,JACKSON     ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,33.5039231,45.3762526843,51.1166666667
196,1917,73,elementary,COTTONDALE ELEMENTARY SCHOOL                                                                        ,JACKSON     ,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,38.55200706,48.6738696015,55.75
197,1915,87,high,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,35.80003872,45.8161834884,52.1166666667
198,1916,87,high,COTTONDALE HIGH SCHOOL                                                                              ,JACKSON     ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,33.14733759,44.8362811183,51.3166666667
199,1916,94,high,COTTONDALE HIGH SCHOOL                                                                              ,JACKSON     ,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,40.64972597,44.8723206474,50.9166666667
200,1914,87,middle,HOPE SCHOOL                                                                                         ,JACKSON     ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,36.78618671,48.2929690607,54.4666666667
201,1915,87,middle,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,35.80003872,45.8161834884,52.1166666667
202,2153,75,elementary,W. R. TOLAR K-8 SCHOOL                                                                              ,LIBERTY     ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,27.08884447,39.6074425356,46.0833333333
203,2153,84,elementary,W. R. TOLAR K-8 SCHOOL                                                                              ,LIBERTY     ,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,35.02005385,52.1417422254,59.75
204,2153,80,elementary,W. R. TOLAR K-8 SCHOOL                                                                              ,LIBERTY     ,DEER POINT ELEMENTARY SCHOOL                                                                        ,BAY         ,36.48363673,53.4298447069,61.55
205,2154,75,elementary,HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL                                                               ,LIBERTY     ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,38.31492872,44.9369432514,52.6
206,2154,84,elementary,HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL                                                               ,LIBERTY     ,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,46.76008097,57.4712429412,65.5666666667
207,2154,80,elementary,HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL                                                               ,LIBERTY     ,DEER POINT ELEMENTARY SCHOOL                                                                        ,BAY         ,48.17821106,58.7587240515,67.3666666667
208,2155,75,elementary,LIBERTY EARLY LEARNING CENTER                                                                       ,LIBERTY     ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,28.13889648,33.3384285771,38.15
209,2155,84,elementary,LIBERTY EARLY LEARNING CENTER                                                                       ,LIBERTY     ,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,37.48093826,45.8727282669,53.7
210,2155,80,elementary,LIBERTY EARLY LEARNING CENTER                                                                       ,LIBERTY     ,DEER POINT ELEMENTARY SCHOOL                                                                        ,BAY         ,38.70118193,47.1608307484,53.2166666667
211,2153,62,middle,W. R. TOLAR K-8 SCHOOL                                                                              ,LIBERTY     ,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,34.90233771,51.8795235823,59.5666666667
212,2153,93,middle,W. R. TOLAR K-8 SCHOOL                                                                              ,LIBERTY     ,NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL                                                       ,BAY         ,36.97693166,53.5236717569,61.7833333333
213,2154,62,middle,HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL                                                               ,LIBERTY     ,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,46.64334027,57.2084029269,65.3833333333
214,2154,93,middle,HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL                                                               ,LIBERTY     ,NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL                                                       ,BAY         ,48.71862537,58.8531724728,67.6
215,2364,76,elementary,DESTIN ELEMENTARY SCHOOL                                                                            ,OKALOOSA    ,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,38.50938544,44.9798178637,58.65
216,2364,63,elementary,DESTIN ELEMENTARY SCHOOL                                                                            ,OKALOOSA    ,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,41.63833343,44.6101020043,60.8
217,2364,89,elementary,DESTIN ELEMENTARY SCHOOL                                                                            ,OKALOOSA    ,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,42.71133403,46.4673804979,65.9333333333
218,2377,76,elementary,JAMES E PLEW ELEMENTARY SCHOOL                                                                      ,OKALOOSA    ,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,39.1068027,49.6972679551,57.0666666667
219,2377,63,elementary,JAMES E PLEW ELEMENTARY SCHOOL                                                                      ,OKALOOSA    ,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,43.25456486,51.0083611708,67.3833333333
220,2377,89,elementary,JAMES E PLEW ELEMENTARY SCHOOL                                                                      ,OKALOOSA    ,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,44.383517299999994,52.8656396644,72.5666666667
221,2389,76,elementary,BLUEWATER ELEMENTARY SCHOOL                                                                         ,OKALOOSA    ,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,36.06516401,46.5630716615,53.9333333333
222,2389,63,elementary,BLUEWATER ELEMENTARY SCHOOL                                                                         ,OKALOOSA    ,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,40.18635242,48.2351815398,62.5666666667
223,2389,89,elementary,BLUEWATER ELEMENTARY SCHOOL                                                                         ,OKALOOSA    ,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,41.31522455,50.0924600334,67.6833333333
224,2368,88,high,NICEVILLE SENIOR HIGH SCHOOL                                                                        ,OKALOOSA    ,J.R. ARNOLD HIGH SCHOOL                                                                             ,BAY         ,45.19634074,53.0178756065,72.0666666667
225,2368,87,high,NICEVILLE SENIOR HIGH SCHOOL                                                                        ,OKALOOSA    ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,48.02252421,54.0710997773,65.2833333333
226,2398,88,high,COLLEGIATE HIGH SCHOOL AT NORTHWEST FLORIDA STATE COLLEGE                                           ,OKALOOSA    ,J.R. ARNOLD HIGH SCHOOL                                                                             ,BAY         ,45.48844815,55.1914320369,71.2666666667
227,2398,87,high,COLLEGIATE HIGH SCHOOL AT NORTHWEST FLORIDA STATE COLLEGE                                           ,OKALOOSA    ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,47.98515891,56.2011602243,65.05
228,2384,71,middle,ADDIE R. LEWIS SCHOOL                                                                               ,OKALOOSA    ,SURFSIDE MIDDLE SCHOOL                                                                              ,BAY         ,42.98157886,54.4377087807,72.9833333333
229,2384,89,middle,ADDIE R. LEWIS SCHOOL                                                                               ,OKALOOSA    ,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,45.2724737,57.4818062515,80.5
230,2392,71,middle,DESTIN MIDDLE SCHOOL                                                                                ,OKALOOSA    ,SURFSIDE MIDDLE SCHOOL                                                                              ,BAY         ,36.65211452,39.7211534638,53.4
231,2392,89,middle,DESTIN MIDDLE SCHOOL                                                                                ,OKALOOSA    ,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,38.88893471,42.7646295634,59.25
232,3760,76,elementary,DUNE LAKES ELEMENTARY SCHOOL                                                                        ,WALTON      ,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,13.420763,19.3215372226,22.3833333333
233,3760,63,elementary,DUNE LAKES ELEMENTARY SCHOOL                                                                        ,WALTON      ,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,17.59684703,18.9524427344,24.4333333333
234,3760,89,elementary,DUNE LAKES ELEMENTARY SCHOOL                                                                        ,WALTON      ,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,18.74078251,20.809721228,29.1833333333
235,3766,76,elementary,FREEPORT ELEMENTARY SCHOOL                                                                          ,WALTON      ,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,20.84388953,26.5182583711,28.25
236,3766,63,elementary,FREEPORT ELEMENTARY SCHOOL                                                                          ,WALTON      ,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,26.3704017,34.9216823749,40.6333333333
237,3766,87,elementary,FREEPORT ELEMENTARY SCHOOL                                                                          ,WALTON      ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,26.862957,29.9221297622,34.3333333333
238,3767,76,elementary,BAY SCHOOL                                                                                          ,WALTON      ,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,16.30321715,23.1796309552,26.5166666667
239,3767,63,elementary,BAY SCHOOL                                                                                          ,WALTON      ,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,20.48358196,22.810536467,28.5666666667
240,3767,89,elementary,BAY SCHOOL                                                                                          ,WALTON      ,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,21.62511841,24.6678149606,33.5666666667
241,3759,88,high,SOUTH WALTON HIGH SCHOOL                                                                            ,WALTON      ,J.R. ARNOLD HIGH SCHOOL                                                                             ,BAY         ,24.99657972,27.0172194385,35.7333333333
242,3759,87,high,SOUTH WALTON HIGH SCHOOL                                                                            ,WALTON      ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,29.5759255,39.3135339617,45.8333333333
243,3768,88,high,SEASIDE NEIGHBORHOOD SCHOOL                                                                         ,WALTON      ,J.R. ARNOLD HIGH SCHOOL                                                                             ,BAY         ,21.02072571,26.5108019168,37.8166666667
244,3768,87,high,SEASIDE NEIGHBORHOOD SCHOOL                                                                         ,WALTON      ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,27.54164737,44.5914608685,54.8333333333
245,3756,71,middle,FREEPORT MIDDLE SCHOOL                                                                              ,WALTON      ,SURFSIDE MIDDLE SCHOOL                                                                              ,BAY         ,26.2196162,35.0068102283,41.8333333333
246,3756,87,middle,FREEPORT MIDDLE SCHOOL                                                                              ,WALTON      ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,27.71355779,31.1934552215,37.8833333333
247,3758,71,middle,EMERALD COAST MIDDLE SCHOOL                                                                         ,WALTON      ,SURFSIDE MIDDLE SCHOOL                                                                              ,BAY         ,18.78796719,20.0839596755,25.7
248,3758,89,middle,EMERALD COAST MIDDLE SCHOOL                                                                         ,WALTON      ,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,21.11261387,23.1280571463,32.2166666667
249,3771,87,elementary,KATE M. SMITH ELEMENTARY SCHOOL                                                                     ,WASHINGTON  ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,27.18591751,30.2054750258,40.1333333333
250,3771,75,elementary,KATE M. SMITH ELEMENTARY SCHOOL                                                                     ,WASHINGTON  ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,28.71248809,37.320175177,42.7833333333
251,3771,73,elementary,KATE M. SMITH ELEMENTARY SCHOOL                                                                     ,WASHINGTON  ,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,33.75152954,37.8551757735,47.3666666667
252,3775,87,elementary,WASHINGTON ACADEMY OF VARYING EXCEPTIONALITIES (WAVE)                                               ,WASHINGTON  ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,26.55385675,29.6891155651,38.8666666667
253,3775,75,elementary,WASHINGTON ACADEMY OF VARYING EXCEPTIONALITIES (WAVE)                                               ,WASHINGTON  ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,28.15183937,37.1300355921,42.7
254,3775,73,elementary,WASHINGTON ACADEMY OF VARYING EXCEPTIONALITIES (WAVE)                                               ,WASHINGTON  ,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,33.12101804,37.3388163127,46.0833333333
255,3776,87,elementary,VERNON ELEMENTARY SCHOOL                                                                            ,WASHINGTON  ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,16.08464754,19.1717867653,25.1333333333
256,3776,73,elementary,VERNON ELEMENTARY SCHOOL                                                                            ,WASHINGTON  ,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,23.68767221,26.8208661417,32.4
257,3776,75,elementary,VERNON ELEMENTARY SCHOOL                                                                            ,WASHINGTON  ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,23.93778026,34.2972043267,40.45
258,3770,87,high,CHIPLEY HIGH SCHOOL                                                                                 ,WASHINGTON  ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,26.53467149,29.937664042,39.5666666667
259,3770,94,high,CHIPLEY HIGH SCHOOL                                                                                 ,WASHINGTON  ,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,36.4473513,44.9400501074,57.45
260,3772,87,high,VERNON HIGH SCHOOL                                                                                  ,WASHINGTON  ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,14.75081729,17.367324823,22.3833333333
261,3772,94,high,VERNON HIGH SCHOOL                                                                                  ,WASHINGTON  ,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,26.36246228,32.3697108884,39.8
262,3773,87,middle,VERNON MIDDLE SCHOOL                                                                                ,WASHINGTON  ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,15.34908309,17.9085391315,22.1666666667
263,3773,78,middle,VERNON MIDDLE SCHOOL                                                                                ,WASHINGTON  ,MOWAT MIDDLE SCHOOL                                                                                 ,BAY         ,26.91467768,30.173785095,36.3166666667
264,3774,87,middle,ROULHAC MIDDLE SCHOOL                                                                               ,WASHINGTON  ,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,26.55385675,29.6891155651,38.8666666667
265,3774,62,middle,ROULHAC MIDDLE SCHOOL                                                                               ,WASHINGTON  ,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,35.91824327,44.8530581405,56.6166666667
